year_month,commodity,price
2023-05,Maize flour,114.99036561538462
2023-05,Oil (vegetable),272.9330013846154
2023-05,Rice,141.7731160769231
2023-06,Beans (dry),184.85026075
2023-06,Maize,73.60184972727274
2023-06,Maize flour,116.77853908333333
2023-06,Oil (vegetable),266.4573120833333
2023-06,Rice,127.02475499999998
2023-07,Beans (dry),191.34697433333335
2023-07,Maize,81.12229516666666
2023-07,Maize flour,117.00615383333333
2023-07,Oil (vegetable),262.46976616666666
2023-07,Rice,137.4378525
2023-08,Beans (dry),190.82962618181818
2023-08,Maize,82.7470441
2023-08,Maize flour,117.00067954545453
2023-08,Oil (vegetable),271.18954209090913
2023-08,Rice,138.63827090909092
2023-09,Beans (dry),181.81879616666666
2023-09,Maize,74.95833400000001
2023-09,Maize flour,104.22158033333334
2023-09,Oil (vegetable),256.07895191666665
2023-09,Rice,153.99153808333332
2023-10,Beans (dry),181.3630518888889
2023-10,Maize,74.95289737499999
2023-10,Maize flour,107.3069692
2023-10,Oil (vegetable),281.7363797
2023-10,Rice,147.9797084
2023-11,Beans (dry),193.80610358333334
2023-11,Maize,71.85323809090909
2023-11,Maize flour,112.33493299999999
2023-11,Oil (vegetable),278.03842149999997
2023-11,Rice,157.14446383333333
2023-12,Beans,179.76666666666668
2023-12,Beans (dry),186.52832063636362
2023-12,Kale,99.16891891891892
2023-12,Maize,68.2022894
2023-12,"Maize (white, dry)",93.52197802197803
2023-12,Maize flour,104.00145972727273
2023-12,Maize flour (white),109.33009708737865
2023-12,Oil (vegetable),279.95320227272725
2023-12,"Oil (vegetable, fortified)",306.58653846153845
2023-12,Rice,164.92006827272726
2024-01,Beans (dry),177.1210646
2024-01,Maize,71.1460565
2024-01,Maize flour,100.80814649999999
2024-01,"Milk (cow, fresh)",179.411761
2024-01,Oil (vegetable),276.0005049
2024-01,Rice,158.539876
2024-02,Beans (dry),176.10731666666666
2024-02,Maize,71.23707633333333
2024-02,Maize flour,99.86742411111112
2024-02,"Milk (cow, fresh)",200.0
2024-02,Oil (vegetable),278.46909966666664
2024-02,Rice,162.573220125
2024-03,Beans,167.42962962962963
2024-03,Beans (dry),177.83720933333333
2024-03,Kale,100.6951219512195
2024-03,Maize,71.56895827272727
2024-03,"Maize (white, dry)",85.73148148148148
2024-03,Maize flour,92.91958583333333
2024-03,Maize flour (white),100.93846153846154
2024-03,"Milk (cow, fresh)",203.888879
2024-03,Oil (vegetable),279.53850925
2024-03,"Oil (vegetable, fortified)",292.6592592592593
2024-03,Rice,169.61623175
2024-04,Beans (dry),166.75937525
2024-04,Maize,58.61330890909091
2024-04,Maize flour,95.49635816666667
2024-04,"Milk (cow, fresh)",195.0
2024-04,Oil (vegetable),258.01216408333335
2024-04,Rice,155.72030058333334
2024-05,Beans (dry),161.8195619090909
2024-05,Maize,60.2499964
2024-05,Maize flour,91.16609854545455
2024-05,Oil (vegetable),271.10445645454547
2024-05,Rice,151.04227718181818
2024-06,Beans,155.099173553719
2024-06,Beans (dry),152.39316788888888
2024-06,Kale,83.5
2024-06,Maize,57.211509
2024-06,"Maize (white, dry)",81.05288461538461
2024-06,Maize flour,87.95079811111111
2024-06,Maize flour (white),94.57563025210084
2024-06,Oil (vegetable),253.93538999999998
2024-06,"Oil (vegetable, fortified)",284.6623931623932
2024-06,Rice,131.74130966666667
2024-07,Beans (dry),144.59424341666667
2024-07,Maize,57.42826663636363
2024-07,Maize flour,81.7543185
2024-07,Oil (vegetable),256.40733616666665
2024-07,Rice,124.460923
2024-08,Beans (dry),146.20647400000001
2024-08,Maize,56.42157172727273
2024-08,Maize flour,82.34472733333332
2024-08,Oil (vegetable),249.00321683333334
2024-08,Rice,129.93146833333333
2024-09,Beans,146.07894736842104
2024-09,Beans (dry),144.92637008333335
2024-09,Kale,77.91428571428571
2024-09,Maize,52.0
2024-09,"Maize (white, dry)",80.19642857142857
2024-09,Maize flour,81.69024581818182
2024-09,Maize flour (white),91.91353383458646
2024-09,Oil (vegetable),262.4857181666667
2024-09,"Oil (vegetable, fortified)",281.052
2024-09,Rice,133.52419958333334
2024-10,Beans (dry),138.1433869090909
2024-10,Maize,56.475689
2024-10,Maize flour,80.13963790909091
2024-10,Oil (vegetable),267.52115027272725
2024-10,Rice,122.92554018181818
2024-11,Beans (dry),141.85399963636362
2024-11,Maize,57.2916625
2024-11,Maize flour,83.24678590909092
2024-11,Oil (vegetable),291.53758363636365
2024-11,Rice,135.60463427272728
2024-12,Beans (dry),135.83240633333332
2024-12,Kale,79.60714285714286
2024-12,Maize,57.25834
2024-12,Maize flour,82.9856015
2024-12,Maize flour (white),87.76257830188679
2024-12,Oil (vegetable),287.09207825
2024-12,"Oil (vegetable, fortified)",302.97115384615387
2024-12,Rice,119.60192966666666
2025-01,Beans (dry),132.942098125
2025-01,Maize,54.761900000000004
2025-01,Maize flour,84.737984125
2025-01,Oil (vegetable),297.20754275
2025-01,Rice,114.87469125
2025-02,Beans (dry),143.63747108333334
2025-02,Maize,56.23917490909091
2025-02,Maize flour,83.99056758333333
2025-02,Oil (vegetable),299.3501075
2025-02,Rice,137.43120583333334
2025-03,Beans,148.62121212121212
2025-03,Beans (dry),146.47710525
2025-03,Kale,80.61904761904762
2025-03,Maize,64.328283
2025-03,"Maize (white, dry)",83.13793103448276
2025-03,Maize flour,84.307131
2025-03,Maize flour (white),95.01515151515152
2025-03,Oil (vegetable),298.2083765
2025-03,"Oil (vegetable, fortified)",283.22727272727275
2025-03,Rice,139.59502875
2025-04,Beans (dry),137.83334574999998
2025-04,Maize,61.666650000000004
2025-04,Maize flour,84.3020875
2025-04,Oil (vegetable),294.9375
2025-04,Rice,138.43749574999998
2025-05,Beans (dry),142.064531
2025-05,Maize,64.7619
2025-05,Maize flour,90.943715125
2025-05,"Milk (cow, fresh)",181.962965
2025-05,Oil (vegetable),292.45722675
2025-05,Rice,141.4575195
2025-06,Beans,147.88235294117646
2025-06,Beans (dry),146.72750458333334
2025-06,Kale,86.17647058823529
2025-06,Maize,65.25
2025-06,"Maize (white, dry)",84.55555555555556
2025-06,Maize flour,91.97217683333334
2025-06,Maize flour (white),102.11111111111111
2025-06,"Milk (cow, fresh)",159.5
2025-06,Oil (vegetable),289.36617725
2025-06,"Oil (vegetable, fortified)",281.22222222222223
2025-06,Rice,140.88568291666667
2025-07,Beans (dry),138.8781128888889
2025-07,Maize,66.4881
2025-07,Maize flour,91.50925555555555
2025-07,"Milk (cow, fresh)",50.0
2025-07,Oil (vegetable),275.05538777777775
2025-07,Rice,136.58632044444442
2025-08,Beans (dry),105.96256363636363
2025-08,Maize,73.88888888888889
2025-08,Maize flour,85.75757272727273
2025-08,Oil (vegetable),276.23290909090906
2025-08,Rice,110.36362727272727
2025-09,Beans,142.34615384615384
2025-09,Beans (dry),125.20786869999999
2025-09,Kale,87.33333333333333
2025-09,Maize,61.11112222222222
2025-09,"Maize (white, dry)",85.18181818181819
2025-09,Maize flour,87.430545
2025-09,Maize flour (white),94.03846153846153
2025-09,"Milk (cow, fresh)",166.0
2025-09,Oil (vegetable),271.778275
2025-09,"Oil (vegetable, fortified)",287.09090909090907
2025-09,Rice,115.86901359999999
2025-10,Beans (dry),125.18202269999999
2025-10,Maize,60.6547329
2025-10,Maize flour,85.2437495
2025-10,"Milk (cow, fresh)",168.28947633333334
2025-10,Oil (vegetable),276.5005515
2025-10,Rice,113.16540979999999
2025-11,Beans (dry),123.63956383333334
2025-11,Maize,59.67016433333333
2025-11,Maize flour,84.82335791666667
2025-11,"Milk (cow, fresh)",175.85881533333335
2025-11,Oil (vegetable),272.95152308333337
2025-11,Rice,119.82954541666668
2025-12,Beans (dry),117.494325
2025-12,Maize,64.0533
2025-12,Maize flour,84.58835833333335
2025-12,Oil (vegetable),266.78003333333334
2025-12,Rice,121.29151666666667
2026-01,Beans (dry),115.30581666666666
2026-01,Maize,62.732025
2026-01,Maize flour,84.99065833333333
2026-01,Oil (vegetable),263.49939166666667
2026-01,Rice,119.94760000000001
2026-02,Beans (dry),114.89075833333334
2026-02,Maize,62.536849999999994
2026-02,Maize flour,84.923025
2026-02,Oil (vegetable),263.72705
2026-02,Rice,120.57024166666667
2026-03,Beans (dry),115.959875
2026-03,Maize,62.48598333333333
2026-03,Maize flour,83.82291666666667
2026-03,Oil (vegetable),262.4277
2026-03,Rice,122.4456
2026-04,Beans (dry),112.47161666666666
2026-04,Maize,61.993883333333336
2026-04,Maize flour,84.21513333333333
2026-04,Oil (vegetable),262.9099166666667
2026-04,Rice,122.33395
2026-05,Beans (dry),111.60539999999999
2026-05,Maize,61.427991666666664
2026-05,Maize flour,84.79555
2026-05,Oil (vegetable),261.57595
2026-05,Rice,122.06103333333333
