ds,yhat,yhat_lower,yhat_upper
2020-08-01,51.886816784983125,42.10111911924537,62.05925010429469
2021-01-01,57.64327375638535,47.67989081880599,67.66323153383196
2021-02-01,60.65220527674377,50.68180143581278,70.23969843390226
2021-03-01,60.697504337871,50.64318381272479,70.81844156971292
2021-04-01,63.18668053855273,53.603349634489426,72.62432752708655
2021-05-01,65.7292022616366,56.38119567722463,75.71962599982851
2021-06-01,67.2369877079673,56.77531728593159,76.7407508592913
2021-07-01,66.55415722609473,57.170278733076515,76.76155215348146
2021-08-01,70.06541964737404,60.26248730229367,79.96718424927859
2021-09-01,66.72847305314009,57.143475650042085,76.21089786621371
2021-10-01,67.60217500089666,58.29969998856363,77.2198191274188
2021-11-01,75.43970509597462,65.62509059564336,85.47948247334226
2021-12-01,71.71175850516738,61.86896321855748,81.42097673381849
2022-01-01,76.01854468262634,65.51455863069162,85.89479363054465
2022-02-01,78.6828535483325,68.59815448883,88.4704485702838
2022-03-01,80.20128404641916,70.56595971701267,90.05188899788382
2022-11-01,99.04645906097647,89.08348773413299,108.66992152899329
2023-01-01,94.36502469917183,83.9093416228128,103.75205784609956
2023-02-01,96.71659787381289,87.2324922679786,106.72514615629534
2023-03-01,99.71346351056333,90.148227757492,109.15365863283172
2023-04-01,99.19406826674016,89.07290682378851,110.2426726139206
2023-05-01,105.9020298879877,96.14679911233024,115.82722032348256
2023-06-01,106.17627597026959,95.62974228815499,116.09119516616167
2023-07-01,105.56955179271239,95.72617957936319,115.50888985111489
2023-08-01,101.72570603158326,91.99679840582779,110.80498502877124
2023-09-01,92.09292962312307,82.23809934202218,101.9411499771439
2023-10-01,95.27324555400901,85.43276577908154,104.95769920528107
2023-11-01,111.4169139211127,101.93393866925146,120.90397962265469
2023-12-01,94.91226861314834,84.87586796468088,104.87533934106625
2024-01-01,96.94916322678718,87.10242841230777,107.58678958942801
2024-02-01,96.74059728198935,86.76902279432517,106.80168512740453
2024-03-01,97.2486953939799,87.49316629878423,106.6000185761749
2024-04-01,98.97868598656896,89.16072311518602,108.53631944160061
2024-05-01,97.2400600830919,87.70293646872545,106.92917321425297
2024-06-01,97.05100869518036,86.94356173454977,106.64997592929916
2024-07-01,92.95621571899333,83.08946956532169,102.75237346217189
2024-08-01,96.68219222109636,86.84530557711753,106.64420299353864
2024-09-01,93.19667786035116,83.16688118841428,103.5890397863068
2024-10-01,89.75674565588326,79.57463468926578,98.43803886879464
2024-11-01,89.88111450192005,79.66874685216413,99.92130270955845
2024-12-01,89.10142086795726,79.27401209055046,98.12818027957067
2025-01-01,91.18796215186188,82.15509827603914,101.18664207095145
2025-02-01,91.91734270332503,81.7980218329946,101.61581834547542
2025-03-01,89.90369250219352,79.86275589600471,99.79690756148291
2025-04-01,90.11331773401179,80.39094237667713,99.69551422215899
2025-05-01,90.44982239037917,80.5230549295689,100.32879380106154
2025-06-01,89.67805686785742,79.81691662405555,98.962132187028
2025-07-01,86.78920931935961,76.74411792714491,96.73381852875028
2025-08-01,88.02092077182301,78.04053062800013,97.47806580535813
2025-09-01,82.4044232088004,73.38357218244992,91.63536647953855
2025-10-01,81.07210808986096,71.6203436230723,91.20837193445287
2025-11-01,86.63008721599532,77.08631205375772,96.15729918296407
2025-12-01,80.69612355845491,70.69107449316908,90.54349219833635
2026-01-01,82.72335876695585,73.32958642436456,92.83523648655337
2026-02-01,83.10811666367083,73.53315189340508,92.96528696743052
2026-03-01,82.5675978994714,72.96937198712224,92.14120506922272
2026-04-01,81.26749960178053,70.64021861378163,91.05310877037816
2026-05-01,83.6852220760963,73.97416350503349,93.51863533961033
2026-06-01,82.30841037938698,72.87609026416176,92.59114181016332
2026-07-01,80.58162285634118,70.50915526853662,90.4435161789786
2026-08-01,79.28856643479712,69.25206743042175,89.81883136701542
2026-09-01,71.62177484090728,61.72820723460708,81.86766995277478
2026-10-01,72.49744386128793,62.94510997258068,82.2868384015025
2026-11-01,83.39696686888374,73.62023854350407,92.70205976196438
2026-12-01,72.2197554359911,62.484065808986905,82.03023432272168
2027-01-01,74.22996613582879,64.48669953552273,84.58094607825518
2027-02-01,74.3019891873957,63.936942008089304,84.11350136697725
2027-03-01,75.24042659340735,64.59858385908996,85.2225785549154
2027-04-01,72.44205723694596,62.946673867779154,82.42165747082161
2027-05-01,76.9450061045784,66.74020376023016,86.45150577141989
