Country,Admin 1,Admin 2,Market Name,Commodity,Price Type,Price Date,Collection Frequency,Price,Unit,Currency,Data Source,Trend,Pewi,ALPS Phase,Data Type,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Kenya,North Eastern,Garissa,Alinjugur,Maize flour (white),Retail,15-09-24,Monthly,103.5,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,Maize flour (white),Retail,15-12-24,Monthly,113,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,"Oil (vegetable, fortified)",Retail,15-03-24,Monthly,320,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,"Oil (vegetable, fortified)",Retail,15-06-24,Monthly,225,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,"Oil (vegetable, fortified)",Retail,15-09-24,Monthly,350,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,"Oil (vegetable, fortified)",Retail,15-12-24,Monthly,322,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Alungu,Beans,Retail,15-09-24,Monthly,213,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Alungu,"Maize (white, dry)",Retail,15-09-24,Monthly,80,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Alungu,Maize flour (white),Retail,15-09-24,Monthly,120,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Alungu,"Oil (vegetable, fortified)",Retail,15-09-24,Monthly,230,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Baringo,Amaya,Beans,Retail,15-03-24,Monthly,153,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Baringo,Amaya,Kale,Retail,15-03-24,Monthly,60,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Baringo,Amaya,"Maize (white, dry)",Retail,15-03-24,Monthly,85,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Baringo,Amaya,Maize flour (white),Retail,15-03-24,Monthly,80,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Baringo,Amaya,"Oil (vegetable, fortified)",Retail,15-03-24,Monthly,310,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,Beans,Retail,15-12-23,Monthly,167,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,Beans,Retail,15-03-24,Monthly,138,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
