admin_1,admin_2,market_name,commodity,price_type,price_date,price,unit,year_month
Rift Valley,Turkana,Aposta,"Oil (vegetable, fortified)",Retail,2024-03-15,283.0,L,2024-03
Rift Valley,Turkana,Aposta,"Oil (vegetable, fortified)",Retail,2024-06-15,283.0,L,2024-06
Rift Valley,Turkana,Aposta,"Oil (vegetable, fortified)",Retail,2024-09-15,267.0,L,2024-09
Rift Valley,Turkana,Aposta,"Oil (vegetable, fortified)",Retail,2024-12-15,300.0,L,2024-12
Rift Valley,Samburu,Archers Post,Beans,Retail,2024-09-15,103.0,KG,2024-09
Rift Valley,Samburu,Archers Post,Kale,Retail,2024-09-15,52.0,KG,2024-09
Rift Valley,Samburu,Archers Post,"Maize (white, dry)",Retail,2024-09-15,50.0,KG,2024-09
Rift Valley,Samburu,Archers Post,Maize flour (white),Retail,2024-09-15,77.0,KG,2024-09
Rift Valley,Samburu,Archers Post,"Oil (vegetable, fortified)",Retail,2024-09-15,243.0,L,2024-09
North Eastern,Mandera,Ashabito,Beans,Retail,2023-12-15,259.0,KG,2023-12
North Eastern,Mandera,Ashabito,Beans,Retail,2024-03-15,200.0,KG,2024-03
North Eastern,Mandera,Ashabito,Kale,Retail,2023-12-15,140.0,KG,2023-12
North Eastern,Mandera,Ashabito,"Maize (white, dry)",Retail,2023-12-15,97.0,KG,2023-12
North Eastern,Mandera,Ashabito,Maize flour (white),Retail,2023-12-15,195.0,KG,2023-12
North Eastern,Mandera,Ashabito,"Oil (vegetable, fortified)",Retail,2023-12-15,395.0,L,2023-12
North Eastern,Mandera,Ashabito,"Oil (vegetable, fortified)",Retail,2024-03-15,350.0,L,2024-03
Coast,Tana River,Bangale,Beans,Retail,2023-12-15,170.0,KG,2023-12
Coast,Tana River,Bangale,Beans,Retail,2024-03-15,168.0,KG,2024-03
Coast,Tana River,Bangale,Beans,Retail,2024-06-15,170.0,KG,2024-06
Coast,Tana River,Bangale,Beans,Retail,2024-09-15,156.0,KG,2024-09
Coast,Tana River,Bangale,Beans,Retail,2025-03-15,147.0,KG,2025-03
Coast,Tana River,Bangale,Kale,Retail,2023-12-15,100.0,KG,2023-12
Coast,Tana River,Bangale,Kale,Retail,2025-03-15,60.0,KG,2025-03
Coast,Tana River,Bangale,"Maize (white, dry)",Retail,2024-06-15,70.0,KG,2024-06
Coast,Tana River,Bangale,"Maize (white, dry)",Retail,2025-03-15,64.0,KG,2025-03
Coast,Tana River,Bangale,Maize flour (white),Retail,2023-12-15,81.0,KG,2023-12
